timestamp,src_id,request_rate,packet_size,time_gap,label
1770125338.5994902,EV_1,2.1,248,0.401,0
1770125338.6032703,EV_1,1.39,406,0.41,0
1770125338.6070447,EV_1,2.4,338,0.49,0
1770125338.6104438,EV_1,2.32,301,0.788,0
1770125338.6137896,EV_1,1.92,514,0.358,0
1770125338.6174028,EV_1,1.83,388,0.628,0
1770125338.6209164,EV_1,1.56,209,0.563,0
1770125338.6241646,EV_1,2.54,508,0.972,0
1770125338.6279392,EV_1,2.22,354,0.457,0
1770125338.6314058,EV_1,1.09,328,1.422,0
1770125338.6346486,EV_1,2.94,257,1.17,0
1770125338.6379275,EV_1,2.43,394,0.993,0
1770125338.6412296,EV_1,2.56,428,0.725,0
1770125338.644886,EV_1,2.05,485,1.004,0
1770125338.6486557,EV_1,2.59,575,0.808,0
1770125338.6519818,EV_1,2.09,513,1.034,0
1770125338.6557045,EV_1,2.16,291,0.805,0
1770125338.6595695,EV_1,2.6,469,0.706,0
1770125338.6628964,EV_1,1.39,401,1.085,0
1770125338.666219,EV_1,1.46,588,0.495,0
1770125338.6696398,EV_1,2.64,420,0.377,0
1770125338.6729512,EV_1,2.11,381,1.353,0
1770125338.6766682,EV_1,1.55,569,0.672,0
1770125338.679973,EV_1,2.51,363,1.326,0
1770125338.683571,EV_1,2.43,558,0.855,0
1770125338.6871767,EV_1,1.43,318,0.728,0
1770125338.690608,EV_1,1.63,441,0.629,0
1770125338.694239,EV_1,1.11,441,1.041,0
1770125338.6978874,EV_1,2.64,355,0.647,0
1770125338.701319,EV_1,2.38,343,0.315,0
1770125338.7049775,EV_1,2.47,378,0.911,0
1770125338.7084615,EV_1,2.27,353,0.793,0
1770125338.7117906,EV_1,2.08,547,0.958,0
1770125338.7155285,EV_1,2.64,497,0.537,0
1770125338.718885,EV_1,2.58,400,1.243,0
1770125338.7222998,EV_1,2.36,356,0.574,0
1770125338.7260702,EV_1,1.51,367,1.118,0
1770125338.7293966,EV_1,2.72,558,1.241,0
1770125338.7327187,EV_1,2.15,451,1.459,0
1770125338.7364404,EV_1,1.88,529,1.172,0
1770125338.7398684,EV_1,1.73,266,1.179,0
1770125338.7432232,EV_1,1.84,451,1.158,0
1770125338.7465749,EV_1,1.87,451,1.122,0
1770125338.749931,EV_1,2.15,410,1.135,0
1770125338.753662,EV_1,2.14,216,0.594,0
1770125338.7573938,EV_1,1.91,347,1.399,0
1770125338.7607243,EV_1,1.68,313,0.399,0
1770125338.764067,EV_1,1.5,570,1.12,0
1770125338.7676904,EV_1,1.01,593,1.223,0
1770125338.7710404,EV_1,2.78,258,1.088,0
1770125338.7743971,EV_1,2.33,447,1.468,0
1770125338.7777538,EV_1,2.77,302,0.479,0
1770125338.7811134,EV_1,2.46,298,0.422,0
1770125338.7848918,EV_1,2.48,523,0.856,0
1770125338.7883408,EV_1,2.87,311,1.479,0
1770125338.791699,EV_1,2.96,544,0.884,0
1770125338.7950315,EV_1,2.09,220,0.803,0
1770125338.798972,EV_1,2.1,597,1.257,0
1770125338.802397,EV_1,1.06,203,0.824,0
1770125338.8060772,EV_1,2.13,280,1.297,0
1770125338.8094406,EV_1,2.59,577,1.123,0
1770125338.8128061,EV_1,1.23,233,0.596,0
1770125338.8161836,EV_1,2.93,217,1.024,0
1770125338.8195553,EV_1,1.6,491,0.806,0
1770125338.822929,EV_1,1.42,238,0.3,0
1770125338.8263013,EV_1,2.7,465,0.998,0
1770125338.8302631,EV_1,1.22,437,1.406,0
1770125338.8336473,EV_1,2.39,584,1.157,0
1770125338.8369966,EV_1,1.74,429,0.826,0
