timestamp,src_id,request_rate,packet_size,time_gap,label
1770125790.2139375,BOT_1,56.35,1165,0.0409,2
1770125790.2139375,BOT_1,68.83,1050,0.0817,2
1770125790.2139375,BOT_1,78.98,1074,0.0522,2
1770125790.2139375,BOT_1,39.23,837,0.0699,2
1770125790.2139375,BOT_1,79.31,728,0.0778,2
1770125790.2139375,BOT_1,95.73,861,0.0621,2
1770125790.2139375,BOT_1,62.05,722,0.0056,2
1770125790.2139375,BOT_1,92.1,1353,0.0381,2
1770125790.2139375,BOT_1,69.68,966,0.053,2
1770125790.2139375,BOT_1,90.03,694,0.011,2
1770125790.2139375,BOT_1,72.09,1213,0.0544,2
1770125790.2139375,BOT_1,60.64,1302,0.0072,2
1770125790.2139375,BOT_1,42.69,725,0.0853,2
1770125790.2139375,BOT_1,39.46,1082,0.021,2
1770125790.2139375,BOT_1,57.59,632,0.0592,2
1770125790.2139375,BOT_1,59.96,850,0.0129,2
1770125790.2139375,BOT_1,59.05,937,0.0209,2
1770125790.2139375,BOT_1,86.94,661,0.0839,2
1770125790.2139375,BOT_1,47.63,1241,0.023,2
1770125790.2139375,BOT_1,65.16,831,0.0497,2
1770125790.2139375,BOT_1,78.02,912,0.0566,2
1770125790.2139375,BOT_1,53.57,1031,0.0531,2
1770125790.2139375,BOT_1,41.39,1127,0.0941,2
1770125790.2139375,BOT_1,87.13,757,0.0952,2
1770125790.2139375,BOT_1,76.22,980,0.0117,2
1770125790.2139375,BOT_1,82.47,1052,0.0143,2
1770125790.2139375,BOT_1,33.63,1115,0.0733,2
1770125790.2139375,BOT_1,36.19,1140,0.0899,2
1770125790.2139375,BOT_1,78.46,1032,0.03,2
1770125790.2139375,BOT_1,62.6,758,0.0373,2
1770125790.2139375,BOT_1,63.03,603,0.0076,2
1770125790.2139375,BOT_1,46.75,1328,0.0991,2
1770125790.2139375,BOT_1,94.36,909,0.0377,2
1770125790.2139375,BOT_1,64.86,625,0.0998,2
1770125790.2139375,BOT_1,94.23,1148,0.0478,2
1770125790.2139375,BOT_1,59.74,986,0.0872,2
1770125790.2139375,BOT_1,94.54,1134,0.045,2
1770125790.2139375,BOT_1,56.77,979,0.0781,2
1770125790.2139375,BOT_1,35.94,835,0.0792,2
1770125790.2139375,BOT_1,50.49,1366,0.0203,2
1770125790.2139375,BOT_1,66.14,877,0.0482,2
1770125790.2139375,BOT_1,58.86,1224,0.0395,2
1770125790.2139375,BOT_1,40.85,739,0.0921,2
1770125790.2139375,BOT_1,55.71,767,0.065,2
1770125790.2139375,BOT_1,67.21,818,0.0195,2
1770125790.2139375,BOT_1,62.09,1394,0.0856,2
1770125790.2139375,BOT_1,32.85,1181,0.0477,2
1770125790.2139375,BOT_1,95.39,951,0.0658,2
1770125790.2139375,BOT_1,98.41,1355,0.0121,2
1770125790.2139375,BOT_1,71.89,668,0.0244,2
1770125790.2139375,BOT_1,38.47,616,0.0103,2
1770125790.2139375,BOT_1,88.27,837,0.056,2
1770125790.2139375,BOT_1,77.24,1163,0.0226,2
1770125790.2139375,BOT_1,37.18,1036,0.0193,2
1770125790.2139375,BOT_1,30.1,905,0.0309,2
1770125790.2139375,BOT_1,31.57,713,0.0736,2
1770125790.2149234,BOT_1,71.28,600,0.0974,2
1770125790.2149234,BOT_1,85.61,1154,0.0597,2
1770125790.2149234,BOT_1,37.09,697,0.0452,2
1770125790.2149234,BOT_1,86.76,1339,0.0547,2
1770125790.2149234,BOT_1,81.07,764,0.0775,2
1770125790.2149234,BOT_1,61.65,1143,0.0761,2
1770125790.2149234,BOT_1,83.53,872,0.0333,2
1770125790.2149234,BOT_1,67.75,1094,0.0374,2
1770125790.2149234,BOT_1,91.13,1004,0.0302,2
1770125790.2149234,BOT_1,60.95,867,0.0943,2
1770125790.2149234,BOT_1,38.65,999,0.0289,2
1770125790.2149234,BOT_1,72.03,1087,0.0481,2
1770125790.2149234,BOT_1,54.65,825,0.0298,2
1770125790.2149234,BOT_1,67.74,805,0.0203,2
1770125790.2149234,BOT_1,67.82,940,0.0069,2
1770125790.2149234,BOT_1,38.09,1139,0.076,2
1770125790.2149234,BOT_1,94.23,1231,0.0259,2
1770125790.2149234,BOT_1,58.54,701,0.0169,2
1770125790.2149234,BOT_1,82.33,851,0.0618,2
1770125790.2149234,BOT_1,66.23,819,0.0808,2
1770125790.2149234,BOT_1,80.97,1267,0.0157,2
1770125790.2149234,BOT_1,43.68,852,0.0108,2
1770125790.2149234,BOT_1,68.39,773,0.026,2
1770125790.2149234,BOT_1,94.26,1300,0.087,2
1770125790.2149234,BOT_1,89.19,874,0.0193,2
1770125790.2149234,BOT_1,41.82,1126,0.0739,2
