timestamp,src_id,request_rate,packet_size,time_gap,label
1770125971.5047097,FUZZ_1,13.62,2,1.4062,3
1770125971.5057147,FUZZ_1,28.27,27,1.0558,3
1770125971.5057147,FUZZ_1,35.9,42,0.4742,3
1770125971.5057147,FUZZ_1,11.59,3302,1.3926,3
1770125971.5057147,FUZZ_1,47.2,4487,1.5771,3
1770125971.5057147,FUZZ_1,13.13,4708,0.1363,3
1770125971.5057147,FUZZ_1,48.77,3070,1.4148,3
1770125971.5057147,FUZZ_1,39.2,4648,0.8126,3
1770125971.5057147,FUZZ_1,33.59,2882,0.0428,3
1770125971.5057147,FUZZ_1,21.12,5,0.5217,3
1770125971.5057147,FUZZ_1,5.68,4898,1.6195,3
1770125971.5057147,FUZZ_1,39.98,8,1.8238,3
1770125971.5057147,FUZZ_1,25.66,40,1.2182,3
1770125971.5057147,FUZZ_1,21.4,3147,1.126,3
1770125971.5057147,FUZZ_1,10.08,4063,0.3136,3
1770125971.5057147,FUZZ_1,47.14,1,1.0659,3
1770125971.5057147,FUZZ_1,47.92,11,1.3443,3
1770125971.5057147,FUZZ_1,47.52,2026,1.3471,3
1770125971.5057147,FUZZ_1,9.36,3291,0.8691,3
1770125971.5057147,FUZZ_1,17.57,3147,1.4983,3
1770125971.5057147,FUZZ_1,38.97,4635,0.5021,3
1770125971.5057147,FUZZ_1,30.14,47,0.2835,3
1770125971.5057147,FUZZ_1,44.41,5,0.3651,3
1770125971.5057147,FUZZ_1,33.48,17,0.7748,3
1770125971.5057147,FUZZ_1,25.05,3559,1.5372,3
1770125971.5057147,FUZZ_1,5.48,3290,0.3925,3
1770125971.5057147,FUZZ_1,40.6,2174,1.8339,3
1770125971.5057147,FUZZ_1,11.9,3275,1.283,3
1770125971.5057147,FUZZ_1,45.47,4267,0.0529,3
1770125971.5057147,FUZZ_1,40.78,50,1.337,3
1770125971.5057147,FUZZ_1,48.02,45,1.2168,3
1770125971.5057147,FUZZ_1,35.82,29,1.483,3
1770125971.5057147,FUZZ_1,24.22,10,0.6902,3
1770125971.5057147,FUZZ_1,11.21,3185,0.9266,3
1770125971.5057147,FUZZ_1,8.66,4154,1.4894,3
1770125971.5057147,FUZZ_1,28.5,2600,0.6535,3
1770125971.5057147,FUZZ_1,27.0,17,1.0026,3
1770125971.5057147,FUZZ_1,21.51,24,1.79,3
1770125971.5057147,FUZZ_1,45.02,48,1.9791,3
1770125971.5057147,FUZZ_1,5.49,44,1.4374,3
1770125971.5057147,FUZZ_1,18.32,3431,0.0844,3
1770125971.5057147,FUZZ_1,12.6,3479,0.9741,3
1770125971.5057147,FUZZ_1,44.08,2633,0.0316,3
1770125971.5057147,FUZZ_1,13.94,3208,1.0448,3
1770125971.5057147,FUZZ_1,13.68,20,0.8078,3
1770125971.5057147,FUZZ_1,17.17,36,1.5341,3
1770125971.5057147,FUZZ_1,40.96,2656,0.7778,3
1770125971.5057147,FUZZ_1,30.59,49,0.8865,3
1770125971.5057147,FUZZ_1,13.14,50,1.1437,3
1770125971.5057147,FUZZ_1,33.3,16,1.4778,3
1770125971.5057147,FUZZ_1,12.82,24,1.6926,3
1770125971.5057147,FUZZ_1,6.06,0,0.1885,3
1770125971.5057147,FUZZ_1,34.42,4,0.8858,3
1770125971.5057147,FUZZ_1,5.19,6,1.8611,3
1770125971.5057147,FUZZ_1,28.79,48,1.9677,3
1770125971.5057147,FUZZ_1,44.63,11,1.2701,3
1770125971.5057147,FUZZ_1,7.87,3058,1.6952,3
1770125971.5057147,FUZZ_1,34.77,4941,0.4031,3
1770125971.5057147,FUZZ_1,29.16,4497,0.4161,3
1770125971.5057147,FUZZ_1,40.39,3046,1.4451,3
1770125971.5057147,FUZZ_1,30.05,1,0.7046,3
1770125971.5057147,FUZZ_1,25.59,33,1.475,3
1770125971.5057147,FUZZ_1,26.88,3566,0.638,3
1770125971.5057147,FUZZ_1,20.77,20,0.2636,3
