timestamp,src_id,request_rate,packet_size,time_gap,label
1770125338.9329908,EV_1,1.11,298,1.216,0
1770125340.704058,EV_3,1.03,248,1.068,0
1770125612.7267742,ATTACKER_1,69.75,1314,0.0095,1
1770125971.508701,FUZZ_1,35.78,34,1.8556,3
1770125339.880852,EV_2,2.82,418,0.975,0
1770125351.0408092,EV_18,2.6,204,0.745,0
1770125344.9205935,EV_9,2.83,428,0.561,0
1770125790.228921,BOT_7,60.07,1069,0.0576,2
1770125612.720795,ATTACKER_1,124.74,963,0.0434,1
1770125790.227921,BOT_6,38.83,1198,0.0726,2
1770125342.1308165,EV_5,2.26,260,0.325,0
1770125338.880719,EV_1,2.15,517,0.731,0
1770125612.725771,ATTACKER_1,106.48,1433,0.0273,1
1770125790.2159212,BOT_1,50.2,1138,0.0924,2
1770125612.7247715,ATTACKER_1,156.76,1454,0.0325,1
1770125790.220921,BOT_3,71.35,810,0.0526,2
1770125348.7806685,EV_15,1.21,370,0.892,0
1770125612.7247715,ATTACKER_1,92.91,878,0.0125,1
1770125344.9311552,EV_9,1.78,451,1.485,0
1770125340.6154032,EV_3,1.65,273,1.189,0
1770125352.1033318,EV_19,2.24,249,1.154,0
1770125347.1765134,EV_13,2.59,242,1.152,0
1770125790.2139375,BOT_1,78.02,912,0.0566,2
1770125612.7267742,ATTACKER_1,113.72,1055,0.028,1
1770125971.5129874,FUZZ_1,35.11,49,0.6834,3
1770125345.6290352,EV_10,2.64,341,1.232,0
1770125612.725771,ATTACKER_1,50.74,958,0.0151,1
1770125790.227921,BOT_6,43.29,1261,0.0283,2
1770125347.7405589,EV_13,2.41,375,0.602,0
1770125790.227921,BOT_6,39.71,1325,0.0923,2
1770125344.6400104,EV_9,2.16,597,0.336,0
1770125349.0978248,EV_15,1.26,436,1.01,0
1770125348.3780026,EV_14,2.74,449,0.872,0
1770125612.7267742,ATTACKER_1,153.98,1114,0.0354,1
1770125352.6837912,EV_20,2.35,471,0.682,0
1770125790.2269208,BOT_6,74.29,729,0.0326,2
1770125612.725771,ATTACKER_1,112.01,1049,0.0322,1
1770125612.7237592,ATTACKER_1,172.88,1415,0.0083,1
1770125339.3918674,EV_2,2.0,280,0.591,0
